case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,comment,priority,severity,automation,type,tags,step_comments,case_parameter
1,login_success,Login,1,"Enggar Frisa",50000,Passed,"2022-08-03 10:26:00","1. Given Input username
2. And Input password
3. Then Click Button Login
","


","


","1. Passed
2. Passed
3. Passed
",,Medium,Normal,"Not automated",Functional,,"1. 
2. 
3. ",
2,login_error,Login,1,"Enggar Frisa",27000,Passed,"2022-08-03 10:26:36","1. Given Input username
2. And Input password
3. Then Click button login
","


","


","1. Passed
2. Passed
3. Passed
",,Medium,Normal,"Not automated",Functional,,"1. 
2. 
3. ",
6,"Forgot Password",Login,1,"Enggar Frisa",27000,Passed,"2022-08-03 10:26:38","1. Given Input username
2. Then Click button reset password
","

","

","1. Passed
2. Passed
",,"Not set",Normal,"Not automated",Other,,"1. 
2. ",
3,"User Management",Admin,2,"Enggar Frisa",11000,Passed,"2022-08-03 10:26:41","1. Given Input username
2. Given Select user role
3. Given Input employee name
4. Given Select status
5. Then Click Search
","




","




","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
",,Medium,Normal,"Not automated",Functional,,"1. 
2. 
3. 
4. 
5. ",
4,"Add Users",Admin,2,"Enggar Frisa",15000,Passed,"2022-08-03 10:26:43","1. Given Click button Add
2. Given Select user role
3. Given Input employee name
4. Given Input username
5. Given Input status
6. Given Input password
7. Given Input confirm password
8. Then Click button save
","







","







","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
7. Passed
8. Passed
",,High,Normal,"Not automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. ",
5,"Delete users",Admin,2,"Enggar Frisa",7000,Passed,"2022-08-03 10:26:45","1. Given Check users that want to delete
2. Then Click button delete
","

","

","1. Passed
2. Passed
",,Low,Normal,"Not automated",Functional,,"1. 
2. ",
7,"Add job titles",Admin,2,"Enggar Frisa",11000,Passed,"2022-08-03 10:26:47","1. Given Click button Add
2. Given Input job title
3. And Input job description
4. And Upload file
5. And Input note
6. Then Click button save
","





","





","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
",,Medium,Normal,"Not automated",Functional,,"1. 
2. 
3. 
4. 
5. 
6. ",
8,"Delete job title",Admin,2,"Enggar Frisa",5000,Passed,"2022-08-03 10:26:48","1. Given Checklist job title that what to delete
2. Then Click button delete
","

","

","1. Passed
2. Passed
",,"Not set",Normal,"Not automated",Other,,"1. 
2. ",
9,"Add pay grades",Admin,2,"Enggar Frisa",6000,Passed,"2022-08-03 10:26:50","1. Given Click button add
2. Given Input name pay grade
3. Then CLick button save
","


","


","1. Passed
2. Passed
3. Passed
",,"Not set",Normal,"Not automated",Other,,"1. 
2. 
3. ",
10,"Delete pay grades",Admin,2,"Enggar Frisa",5000,Passed,"2022-08-03 10:26:53","1. Given Checklist the name want to delete
2. Then Click button delete
","

","

","1. Passed
2. Passed
",,"Not set",Normal,"Not automated",Other,,"1. 
2. ",
11,"Add general information",Admin,2,"Enggar Frisa",23000,Passed,"2022-08-03 10:26:55","1. Given Click button edit
2. Given Input organization name
3. And Input tax ID
4. And Input registration number
5. And Input phone
6. And Input email
7. And Input fax
8. And Input address street 1
9. And Input address street 2
10. And Input city
11. And Input state/province
12. And Input zip
13. And Input country
14. And Input note
15. Then Click button save
","














","














","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
7. Passed
8. Passed
9. Passed
10. Passed
11. Passed
12. Passed
13. Passed
14. Passed
15. Passed
",,"Not set",Normal,"Not automated",Other,,"1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. 
11. 
12. 
13. 
14. 
15. ",
12,"Search Locations",Admin,2,"Enggar Frisa",9000,Passed,"2022-08-03 10:26:57","1. Given Input location name
2. And Input city
3. And Select country
4. Then Click button search
","



","



","1. Passed
2. Passed
3. Passed
4. Passed
",,"Not set",Normal,"Not automated",Other,,"1. 
2. 
3. 
4. ",
13,"Add location",Admin,2,"Enggar Frisa",14000,Passed,"2022-08-03 10:26:59","1. Given Input name
2. And Select country
3. And Input state/province
4. And Input city
5. And Input address
6. And Input zip/postal code
7. And Input phone
8. And Input fax
9. And Input notes
10. Then Click button save
","









","









","1. Passed
2. Passed
3. Passed
4. Passed
5. Passed
6. Passed
7. Passed
8. Passed
9. Passed
10. Passed
",,"Not set",Normal,"Not automated",Other,,"1. 
2. 
3. 
4. 
5. 
6. 
7. 
8. 
9. 
10. ",
14,"Add nationalities",Admin,2,"Enggar Frisa",7000,Passed,"2022-08-03 10:27:01","1. Given Click button add
2. Given Input nationality
3. Then Click button save
","


","


","1. Passed
2. Passed
3. Passed
",,"Not set",Normal,"Not automated",Other,,"1. 
2. 
3. ",
